Acronym,Meaning
ERLAWS ,  Eastern Ruapehu Lahar Alarm and Warning System
ERN ,  Eritrean nakfa (ISO 4217 currency code)
EROS ,  Earth Resources Observation System
ERP ,  Engineer Regulating Point
ERR ,  Eesti Rahvusringhääling
ERS ,  Earth Resources Survey
ERTS ,  Earth Resources Technology Satellite (became Landsat)
ERV ,  Endogenous RetroVirus
es ,  Spanish language (ISO 639
Es," Einsteinium,Exasecond"
ES, El Salvador (FIPS 10
ESA, Electro
ESC," Embryonic Stem Cell,Electronic Stability Control"
ESD ,  ElectroStatic Discharge
ESDP ,  European Security and Defence Policy
ESE ,  East South
ESH ,  Western Sahara (ISO 3166 trigram)
ESL ,  English as a Second Language
ESM ,  Electronic warfare Support Measures
ESO ,  European Southern Observatory
ESOL ,  English for Speakers of Other Languages
ESP," Electronic Stability Program,Extra"
ESPGHAN ," European Society for Paediatric Gastroenterology, Hepatology and Nutrition"
ESPN ,  Entertainment and Sports Programming Network
est ,  Estonian language (ISO 639
EST," Eastern Standard Time (UTC?5 hours), Estonia (ISO 3166 trigram)"
ESU ,  Emergency Services Unit
ESV ,  Engineer Support Vehicle
et ,  Estonian language (ISO 639
ET, Ethiopia (ISO 3166 digram; FIPS 10
Exatesla, Extra Terrestrial
ETA," Estimated Time of Arrival, Euzkadi Ta Azkatasuna (""etta"", Basque, ""Basque Homeland and Freedom""),et al. "
ETB ,  Ethiopian Birr (ISO 4217 currency code)
ETF ,"  Emergency Task Force (a special police unit, also jocularly said to stand for Extra"
ETH ,  Ethiopia (ISO 3166 trigram)
ETI ,  Extra
ETLA ,  Extended TLA
ETM," Electronic Technical Manual,Enhanced Thematic Mapper"
ETOPS ,  Extended
ETT ,  Embedded Training Team
eu ,  Basque language (ISO 639
Eu ,  Europium
EU, Europa Island (FIPS 10
EUCOM ,  (U.S.) European Command
EULA ,  End
EUR ,  euro (ISO 4217 currency code)
eus ,  Basque language (ISO 639
EUUSA ,  European Union and United States of America
EV ,  Exavolt
EVA," Earned Value Analysis,Economic value added,Ethylene"
EVIL ,  Electronic viewfinder (with) interchangeable lens (a type of digital camera)
EW ,  Electronic Warfare 
ewe ,  Ewe language (ISO 639
EWR ,  Newark Liberty International Airport (IATA airport code)
EWSD ,"  Elektronisches Wählsystem Digital (German, ""Electronic Digital Switching System"")"
EWTN ,  Eternal Word Television Network
EXFOR ,  Experimental Force (military)
EXREP ,  Expeditious Repair (SM&R code)
EYD,"Ejaan Yang Disempurnakan (Indonesian, ""Perfected Spelling System"", used officially in Indonesia since 1972),Eurovision Young Dancers,EZ[edit]"
EZ ,  Czech Republic (FIPS 10
EZLN ,"  Ejército Zapatista de Liberación Nacional (Spanish, ""Zapatista Army of National Liberation"")"
f ,  Femto
F ,  Farad 
fa ,  Persian language (ISO 639
FA , Food Addicts in Recovery Anonymous
fA ,  Femtoampere
FA ,  Field Artillery 
FAA ,  U.S. Federal Aviation Administration 
FAAD ,  Forward Area Air Defence
FAADEZ ,  Forward Area Air Defence Engagement Zone
FAAN ,  Fellow of the American Academy of Neurology
FAAFP , Fellow of the American Academy of Family Physicians
FAAN ,  Fellow of the American Academy of Nursing
FAAQ , (a/i) Frequently Asked and Anticipated Questions (cf. FAQ)
FAASV ,  Field Artillery Ammunition Supply Vehicle
FAB ,  Feline Advisory Bureau (UK feline charity)
FAC ,  Forward Air Controller 
FACA ,  (US) Federal Advisory Committee Act
FACH ,  Fuerza Aérea de Chile
FACN ,  Fellow of the American College of Nutrition
FACP ,  Fellow of the American College of Physicians
FACS ,  Fellow of the American College of Surgeons 
FACTS ,  Flexible Alternating Current Transmission System
FAD ,  Flavin Adenine Dinucleotide 
FAH ,  Federation of American Hospitals 
FAI ,"  Fédération Aéronautique Internationale (French, ""International Aeronautics Federation"") "
FAM ,  Foreign Affairs Manual
fao ,  Faroese language (ISO 639
FAO ,  Food and Agriculture Organization
FAPA , Fellow of the American Psychological Association
FAPHA , Fellow of the American Public Health Association
FAQ ," (a/i) Frequently Asked Questions (sometimes pronounced ""fak"")"
FARC ,"  Fuerzas Armadas Revolucionarias de Colombia (Spanish, ""Revolutionary Armed Forces of Colombia"")"
FARDC ,"  ""Military of the Democratic Republic of the Congo"
FARP ,  Forward Arming and Refuelling Point / Forward Area Rearm/refuel Point
fas ,  Persian language (ISO 639
FAS ,  Federation of American Scientists 
FASCAM ,  Family of Scatterable Mines[1]
FASD ,  Fetal Alcohol Spectrum Disorder
FASEB , (a/i) Federation of American Societies for Experimental Biology
FAT ,  Field Artillery Tractor 
FAVS ,  Future Armoured Vehicle System
FAW ,  Football Association of Wales
FB ," Facebook, An on"
FBCS ,  Fellow of the British Computer Society
FBI ,  Federal Bureau of Investigation
FBIS ,  Foreign Broadcast Information Service
FBIDST ,  Fellow of the British Institute of Dental and Surgical Technologists
FBM ,  Board foot
FBR," Fast Breeder Reactor,Foundation for Biomedical Research,Friedman, Billings, Ramsey (now known as Arlington Asset Investment)"
FBS,"Federal Bureau of Statistics (Pakistan),Fetal bovine serum,Football Bowl Subdivision (U.S. college football),Fukuoka Broadcasting Corporation,FC[edit]"
fC ,  Femtocoulomb
FC," Fire Control,Football Club, Funnel Cloud (METAR Code)"
FCA," Fellowship of Christian Athletes,Fiat Chrysler Automobiles,Fraction of Combat Active forces"
FCC ,  U.S. Federal Communications Commission
FCE ,  First Certificate in English
FCF ,  Financial Free Cash Flow
FCLA , Fraud Claims Law Associate
FCM," Federation of Canadian Municipalities,Fogarty's Cove Music"
FCO ,  UK Foreign and Commonwealth Office
FCS," Football Championship Subdivision (U.S. college football),Future Combat System"
FCW ,  Florida Championship Wrestling
FCZ ,  Forward Combat Zone
FD ,  Falun Dafa
FDA ,  Food and Drug Administration (U.S.)
FDC ,  Federal Detention Center (U.S.) 
FDDI ,  Fibre Distributed Data Interface
FDBK , (I) Feedback
FDR ,  Flight Data Recorder 
Fe ,  Iron (Latin Ferrum)
FE ,"  Fully Exposed (armoured vehicle target, as opposed to Hull"
FEAR ,  First Encounter Assault Recon 
FEAST , (a/i) Forum for European
FEATS ,  Festival of European Anglophone Theatrical Societies link title
FEB," Federación Española de Baloncesto (Spanish, ""Spanish Basketball Federation""),Federatie Eredivisie Basketball (Dutch, ""Federation Honorary Division (of) Basketball""), the former name of the basketball competition now known in Dutch by the English"
FEBA ,  Forward Edge of the Battle Area
FED , (a/i) Field emission display
FEDEP ,  Federation Development Process (Simulation)
FEF ,  Frontal Eye Field (neurophysiology)
FEI ,"  Fédération équestre internationale (French, ""International Federation for Equestrian Sports"")"
FEMA,"(a/i) Farm Equipment Manufacturers Association,(a/i) U.S. Federal Emergency Management Agency,Fire Equipment Manufacturers' Association"
FEMEXFUT ,"  Federación Mexicana de Fútbol Asociación (Spanish, ""Mexican Association Football Federation"")"
FENAFUTH ,"  Federación Nacional Autónoma de Fútbol de Honduras (Spanish, ""National Autonomous Football Federation of Honduras"")"
FENS , (a/i) Federation of European Neuroscience Societies
FEP ,  Firepower Enhancement Program 
FEPAFUT ,"  Federación Panameña de Fútbol (Spanish, ""Panamanian Football Federation"")"
FES ,  Flywheel Energy Storage
FEST ,  Frankfurt English Speaking Theatre link title
FET ,  Field
FEZ , (a/i) Fighter Engagement Zone
ff ,  Fula language (ISO 639
fF ,  Femtofarad
FF," Final Fantasy, Firefox (Web browser)"
FFA," Football Federation Australia,Pacific Islands Forum Fisheries Agency,Free"
FFB ,  Frum From Birth (referring to an observant Jew born into a religiously observant family)
FFC ,  Free For Chat
FFE ,  Fukuoka Futures Exchange
FFF ,"  Fédération française de football (French, ""French Football Federation"")"
FFG ,  Guided Missile Frigate (hull classification symbol)
FFOV ,  Forward Field Of View
FFR ,"  Fédération française de rugby (French, ""French Rugby (Union) Federation"")"
FFS ,  For Fuck's Sake
FFT," Fast Fourier Transform,Final Fantasy Tactics,FG[edit]"
FG ,  Falun Gong
fg ,  Femtogram
FG ,  Fog (METAR Code) 
FGR ,  Flickr Group Roulette
fH ,  Femtohenry
FHFIF ,  Foster's Home for Imaginary Friends
FHI ,"  Family Health International, Fuji Heavy Industries, Ltd."
fi ,  Finnish language (ISO 639
FI ,  Finland (ISO 3166 digram; FIPS 10
FIA ,"  Fédération internationale de l'automobile (French ""International Automobile Federation"")"
FIAT ,"  Fabbrica Italiana Automobili Torino (Italian ""Italian Car Factory of Turin"")"
FIB ,"  Fucking Illinois Bastard (Wisconsin slang, variants exist)"
FIBA , originally  Fédération internationale de basket
FIBUA , (i/a) Fighting In Built
FIC ,  Fellowship for Intentional Community
FID ,  Foreign Internal Defence
FIE ,  Fly
FIFA ,"  Fédération internationale de football association (French, ""International Association Football Federation"")"
FIFe ,"  Fédération internationale féline (French, ""International Feline Federation"")"
FIFO ,"  First In, First Out"
FIFRA ,"  Federal Insecticide, Fungicide, and Rodenticide Act"
FIG," Fédération internationale des géomètres (French, ""International Federation of Surveyors""),Fédération internationale de gymnastique (French, ""International Federation of Gymnastics""),Feminist Improvising Group (music ensemble)"
FIGJAM ,"  Fuck I'm Good, Just Ask Me"
fij ,  Fijian language (ISO 639
FILA ,"  Fédération internationale des luttes associées (French, ""International Federation of Associated Wrestling Styles""), former name of the sport governing body now known as United World Wrestling"
FILO ,"  First In, Last Out (see also LIFO)"
FIMPT ,  Fellow of the Institute of Maxillofacial Prosthetists and Technologists
fin ,  Finnish language (ISO 639
FIN ,  Finland (ISO 3166 trigram)
FINA ," (p/a) Fédération internationale de natation (French, ""International Swimming Federation"")"
FIPS ,  Federal Information Processing Standard
FIR," Final Inspection Report,Federazione Italiana Rugby (Italian, ""Italian Rugby (Union) Federation"")"
FIRES , Fever Induced Refractory Epilepsy Syndrome or Febrile Infection
FIS ," (a/i) Fédération internationale de ski (French ""International Ski Federation"")"
FISA ,"  Fédération Internationale des Sociétés d'Aviron (French, ""International Federation of Rowing Associations"")"
FISH ,  Fluorescence In
FiST ,  Fire Support Team
FITS ,  Flexible Image Transport System
FIU ,  Florida International University
fj ,  Fijian language (ISO 639
fJ ,  Femtojoule
FJ ,  Fiji (ISO 3166 digram; FIPS 10
FJD ,  Fiji dollar (ISO 4217 currency code)
FJI ,  Fiji (ISO 3166 trigram)
FJN ,  Financial Job Network
fK ,  Femtokelvin
FK ,  Falkland Islands (ISO 3166 digram; FIPS 10
FKP ,  Falkland Islands pound (ISO 4217 currency code)
FKSM ,  Fort Knox Supplemental Manual
FKT ,  Fastest Known Time
fl ,"  floruit (Latin, ""living"") (genealogy)"
fL ,  Femtolitre
FL ,  Florida (postal symbol)
FLA ,  Florida 
FLAB ,  Four
FLAC , (a/i) Free Lossless Audio Codec
FLAC , (a/i) Free Legal Advice Centres
FLAK ,"  FLugAbwehrKanone (German for ""Anti"
FLB ,  Forward Logistics Base
FLET , (a/i) Forward Line of Enemy Troops
FLG ,  Falun Gong
FLIP ,  Flight Information Publication
FLIR ,  Forward Looking InfraRed (sensor)
FLK ,  Falkland Islands (ISO 3166 trigram)
FLOT , (a/i) Forward Line of Own Troops
FLSA ,  Fair Labor Standards Act
FLQ ,"  Front de libération du Québec (French for ""Québec Liberation Front"")"
FLQ ,  Free Legal Questions
FLTSAT ,  Fleet Satellite
FLTSATCOM ,  Fleet Satellite Communication System
FLUBOS ,"  Fat, Lazy, Useless, Bag Of Shit"
FM ,  Factory Mutual http://fmglobal.com
fm ,  Femtometre
Fm ,  Fermium
FM, Federal Magistrate (Australian post
FMC," Federal Magistrates' Court (an Australian federal court, formerly FMS),Food Machinery Corporation (original name of the company now known as FMC Corporation)"
FMCA ,  Federal Magistrates' Court of Australia (used for citing decisions of the FMC other than family law decisions)
FMCAfam ,  Federal Magistrates' Court of Australia: family (used for citing family law decisions of the FMC)
FME ,  Formal Methods Europe
FMECA ,  Failure Modes and Effect Criticality Analysis
FMJD ,  Fédération Mondiale du Jeu de Dames[2]
FMLA ,  Family Medical Leave Act
Fmr ," Former (As in ""Fmr. president"")"
fMRI ,  Functional Magnetic Resonance Imaging
FMS," Federal Magistrates Service (an Australian federal court, now FMC), Flight Management System,Foreign Military Sales"
FMSF ,  False Memory Syndrome Foundation
FMTV ,  Family of Medium Tactical Vehicles
FMCG ,  (Fast Moving Consumer Goods)
fN ,  Femtonewton
FNA ,  Functional Needs Analysis
fo ,  Faroese language (ISO 639
FO ,  Faroe Islands (ISO 3166 digram; FIPS 10
FOAD ,  Fuck Off And Die
FOAF ,  Friend Of A friend
FoB ,  Free On Board (shipping)
FOB , (i/a) Forward Operating Base
FOC ,  Full Operational Capability 
FoE ,  Friends of the Earth
FOGC ,  Federal Oil and Gas Council
FOH ,  Front Of House
FOIA ,  Freedom of Information Act
FOM ,  Federation Object Model
FONSI ,  Finding of No Significant Impact
FOO ,  Forward Observation Officer
FOR ,  Field Of Regard 
Fortran ,  The IBM Mathematical FORmula TRANslating System (programming language)
FOS ,  Florida Ornithological Society 
FoS ,  Family of Systems
FOSE ,  Fallout 3 Script Extender
FOSE ,  Federal Office Systems Expo
FOT ,  Free on truck
FOTA ,  Fellow of the Orthodontic Technicians Association
FOTC , Flight of the Conchords
FOUO ,  For Official Use Only
FOV ,  Field Of View
FP ,  French Polynesia (FIPS 10
FPF," Federação Portuguesa de Futebol (""Portuguese Football Federation"" in that language),Final Protective Fire"
fps ,"  frames per second (motion pictures, television, computer graphics)"
FPS," Fire Prevention System,First Person Shooter (computer/video games)"
FOOP ,  Friends Of Organ Pipes (Volunteer group)
FQ ,  Baker Island (FIPS 10
FQDN ,  Fully Qualified Domain Name
fr ,  French language (ISO 639
Fr ,  Francium
FR ,  France (FIPS 10
fra ,  French language (ISO 639
FRA," Federal Railroad Administration, France (ISO 3166 trigram)"
FRAGO ,  Fragmentary Order (military)
FRAND ,"  Fair, reasonable, and non"
FRCP," Federal Rules of Civil Procedure,Fellow of the Royal College of Physicians"
FRICBM ,  Full Range ICBM
frr ,  North Frisian language (ISO 639
FRR," Falls Road Railroad (reporting mark), Federa?ia Român? de Radioamatorism (Romanian, ""Romanian Amateur Radio Federation""), Fix, Rebuild, Replace,Federa?ia Român? de Rugby (Romanian, ""Romanian Rugby (Union) Federation"")"
FRO ,  Faroe Islands (ISO 3166 trigram)
FRS," Fellow of the Royal Society,U.S. Federal Reserve System"
FRSA ,  Fellow of the Royal Society of Art
fry ,  West Frisian language (ISO 639
FRY ,  Federal Republic of Yugoslavia
fs ,  Femtosecond
fS ,  Femtosiemens
FS," Fire Support (military), French Southern and Antarctic Territories (FIPS 10"
FSA," Fire Support Area,UK Food Standards Agency,Functional Solution Analysis"
FSB," Federal'naya Sluzhba Bezopasnosti Rossiyskoi Federatsii (???????????? ??????? ????????????? ??????????? ??????????, Russian ""Federal Security Service of the Russian Federation"", succeeded the FSK in 1995),Forward Support Battalion"
FSC," Federal Supply Classification, Forest Stewardship Council (ecological pressure group"
FSCL ,  Fire Support Co
FSE ,  Fire Support Element
FSF ,  Free Software Foundation
FSH ,  Follicle Stimulating Hormone
FSI ,  Fuel Stratified Injection
FSK ,"  Federal'naya Sluzhba Kontrrazvedki (???????????? ??????? ??????????????, Russian ""Federal Counterintelligence Service"", succeeded the KGB in 1991)"
FSM," Federated States of Micronesia (ISO 3166 trigram), Flying Spaghetti Monster (satirical religion)"
FSO," Fire Support Officer,Flotilla Staff Officer,Foreign Service Officer"
FSS ,  Fire Support Station
FSSP ,  Families of Structurally Similar Proteins
FST," Finance Support Team,Finlands Svenska Television (Finland's Swedish"
FSTC ,  Foreign Science Technology Center (now NGIC)
FSV," Fire Support Vehicle,Fisheries Survey Vessel,Flexible Sender Validation,Fort St. Vrain,Fußball und Sportverein (German ""Football and Sport Association"", as in FSV Mainz),FT[edit]"
fT ,  Femtotesla
FTC ,  Federal Trade Commission
FTE ,  Full Time Equivalent
FTL ,  Faster Than Light
FTP ,  File Transfer Protocol
FTSE ," (a/i) Financial Times Stock Exchange (""footsie"")"
FTW ,"  For The Win (a commonly used phrase used online to indicate success) F@#K The World, Forever Together Where ever (gang slogan)"
